road,model_type,name,lat,lon
R547,sourcesink,SoSi336,24.8238882,88.33152709999999
R548,sourcesink,SoSi337,24.8037778,88.9618056
R548,sourcesink,SoSi338,24.4085833,88.9624444
R549,sourcesink,SoSi339,24.9651111,88.9039167
R549,sourcesink,SoSi340,25.1057222,89.00027779999999
R550,sourcesink,SoSi341,25.017166,89.3688882
R550,sourcesink,SoSi342,25.1023889,89.0267493
R555,sourcesink,SoSi343,25.2815549,89.3533333
R555,sourcesink,SoSi344,25.3309438,89.5501111
R556,sourcesink,SoSi345,25.5802771,89.2734993
R556,sourcesink,SoSi346,25.4987219,88.96552779999999
R557,sourcesink,SoSi347,25.5595833,89.0571667
R557,sourcesink,SoSi348,25.6687493,89.04816629999999
R558,sourcesink,SoSi349,25.5146667,88.9812771
R558,sourcesink,SoSi350,25.5484997,88.9556944
R560,sourcesink,SoSi351,25.8112222,89.14702740000001
R560,sourcesink,SoSi352,26.2084167,89.1045556
R570,sourcesink,SoSi353,25.8065278,88.8861386
R570,sourcesink,SoSi354,25.9322771,88.85355559999999
R585,sourcesink,SoSi355,25.136333,89.3871941
R585,sourcesink,SoSi356,25.6259438,88.6366941
R586,sourcesink,SoSi357,25.6230271,88.64397190000001
R586,sourcesink,SoSi358,25.6510278,88.64652740000001
R587,sourcesink,SoSi359,26.0286382,88.4784438
R587,sourcesink,SoSi360,26.0419441,88.4224716
R601,sourcesink,SoSi361,23.9991663,89.2452774
R601,sourcesink,SoSi362,23.8799993,89.6419441
R602,sourcesink,SoSi363,23.8402774,89.53027709999999
R602,sourcesink,SoSi364,23.8277771,89.529166
R603,sourcesink,SoSi365,23.9974997,89.2255549
R603,sourcesink,SoSi366,24.1066667,89.0430552
R604,sourcesink,SoSi367,24.0716382,89.20786109999999
R604,sourcesink,SoSi368,24.366971600000003,89.36211109999999
R605,sourcesink,SoSi369,23.9347219,89.4110278
R605,sourcesink,SoSi370,24.066666,89.0527222
R681,sourcesink,SoSi371,24.3976663,88.4453052
R681,sourcesink,SoSi372,24.4461108,88.3475274
R682,sourcesink,SoSi373,24.5915552,88.2820271
R682,sourcesink,SoSi374,24.598833,88.27547159999999
R685,sourcesink,SoSi375,24.3744438,88.6040278
R685,sourcesink,SoSi376,24.8656111,88.8461663
R710,sourcesink,SoSi377,23.684138600000004,89.6986941
R710,sourcesink,SoSi378,23.8907219,89.1099722
R711,sourcesink,SoSi379,23.7541111,89.6078611
R711,sourcesink,SoSi380,23.7973052,89.575666
R712,sourcesink,SoSi381,23.8048333,89.35794440000001
R712,sourcesink,SoSi382,23.7913608,89.35327779999999
R713,sourcesink,SoSi383,23.8782216,89.2014167
R713,sourcesink,SoSi384,23.9190549,89.2197771
R720,sourcesink,SoSi385,23.487833,89.4283604
R720,sourcesink,SoSi386,23.1733604,89.5005556
R743,sourcesink,SoSi387,23.420916,88.8222493
R743,sourcesink,SoSi388,23.381666,88.8262493
R745,sourcesink,SoSi389,23.9319716,89.0892219
R745,sourcesink,SoSi390,23.5450552,89.17261040000001
R746,sourcesink,SoSi391,23.7669716,88.6404163
R746,sourcesink,SoSi392,23.649583,88.5952497
R747,sourcesink,SoSi393,23.8800827,89.09216629999999
R747,sourcesink,SoSi394,23.6426386,88.85425
R748,sourcesink,SoSi395,23.6453052,88.8450552
R748,sourcesink,SoSi396,23.4084722,89.1349997
R749,sourcesink,SoSi397,23.5272771,88.8076944
R749,sourcesink,SoSi398,23.6644722,88.60422220000001
R755,sourcesink,SoSi399,23.1387774,89.25022220000001
R755,sourcesink,SoSi400,22.8407497,89.2955552
R760,sourcesink,SoSi401,22.8189716,89.5582222
R760,sourcesink,SoSi402,22.7216938,89.06827709999999
R765,sourcesink,SoSi403,23.0581389,88.9994441
R765,sourcesink,SoSi404,22.7123889,89.0709716
R770,sourcesink,SoSi405,22.737388600000003,89.6496941
R770,sourcesink,SoSi406,22.5791382,89.9801938
R771,sourcesink,SoSi407,22.8005833,89.5867497
R771,sourcesink,SoSi408,22.6652778,89.75838890000001
R772,sourcesink,SoSi409,22.647388600000003,89.79213859999999
R772,sourcesink,SoSi410,22.652777800000003,89.7934997
R801,sourcesink,SoSi411,,
R802,sourcesink,SoSi412,23.7398052,90.4275827
R802,sourcesink,SoSi413,23.7601111,90.4634722
R810,sourcesink,SoSi414,23.6902219,90.4310549
R810,sourcesink,SoSi415,23.6239716,90.4996386
R812,sourcesink,SoSi416,23.6323882,90.4762216
R812,sourcesink,SoSi417,23.473166,90.2655
R813,sourcesink,SoSi418,23.5659167,90.5143056
R813,sourcesink,SoSi419,23.5487497,90.5353608
R814,sourcesink,SoSi420,23.5772771,90.5130278
R814,sourcesink,SoSi421,23.5603889,90.51025
R820,sourcesink,SoSi422,23.7012222,90.39752740000002
R820,sourcesink,SoSi423,23.5429719,90.2959163
R821,sourcesink,SoSi424,23.5255827,90.2858608
R821,sourcesink,SoSi425,23.5506944,90.2889997
R822,sourcesink,SoSi426,23.5367219,90.286083
R822,sourcesink,SoSi427,23.5506944,90.2889997
R850,sourcesink,SoSi428,23.227166,90.0198882
R850,sourcesink,SoSi429,22.9526389,89.8216382
R851,sourcesink,SoSi430,23.0175827,89.8358052
R851,sourcesink,SoSi431,23.0208049,89.8408886
R860,sourcesink,SoSi432,23.1543056,90.1391108
R860,sourcesink,SoSi433,23.1449997,90.72822159999998
R861,sourcesink,SoSi434,23.1869997,90.3318882
R861,sourcesink,SoSi435,23.2363608,90.3538056
R870,sourcesink,SoSi436,22.678666,90.347083
R870,sourcesink,SoSi437,22.5794993,89.972916
R880,sourcesink,SoSi438,22.3596111,90.3184716
R880,sourcesink,SoSi439,22.1604722,90.0145833
R881,sourcesink,SoSi440,22.133166,90.23055490000002
R881,sourcesink,SoSi441,21.8137778,90.122416
R890,sourcesink,SoSi442,22.7290271,90.634333
R890,sourcesink,SoSi443,22.0808882,90.6143889
R891,sourcesink,SoSi444,22.780916,90.6481663
R891,sourcesink,SoSi445,22.782916,90.6532778
Z1001,sourcesink,SoSi446,21.4494997,92.0995552
Z1001,sourcesink,SoSi447,21.4298882,92.1785827
Z1002,sourcesink,SoSi448,21.8044722,92.0771382
Z1002,sourcesink,SoSi449,21.8116389,92.021416
Z1004,sourcesink,SoSi450,21.7158889,91.9448608
Z1004,sourcesink,SoSi451,21.5178049,91.9744716
Z1005,sourcesink,SoSi452,21.7215271,92.0830827
Z1005,sourcesink,SoSi453,21.7774438,92.1947774
Z1007,sourcesink,SoSi454,21.9031667,92.0611667
Z1007,sourcesink,SoSi455,21.8518611,92.1807493
Z1008,sourcesink,SoSi456,23.4896941,91.00475
Z1008,sourcesink,SoSi457,23.602583300000003,90.9896108
Z1009,sourcesink,SoSi458,21.4295271,92.1041667
Z1009,sourcesink,SoSi459,21.3176382,92.0931663
Z1012,sourcesink,SoSi460,22.5348608,91.9195271
Z1012,sourcesink,SoSi461,22.421221600000003,91.9709993
Z1013,sourcesink,SoSi462,22.00025,92.2361941
Z1013,sourcesink,SoSi463,22.0449441,92.1078611
Z1016,sourcesink,SoSi464,22.3996108,91.7573333
Z1016,sourcesink,SoSi465,22.2339997,91.7931108
Z1017,sourcesink,SoSi466,23.5042778,90.9353886
Z1017,sourcesink,SoSi467,23.6269716,90.9709438
Z1018,sourcesink,SoSi468,22.2916941,91.8696382
Z1018,sourcesink,SoSi469,22.2227771,91.8787771
Z1019,sourcesink,SoSi470,22.0976941,92.07497159999998
Z1019,sourcesink,SoSi471,22.0823327,91.9353886
Z1021,sourcesink,SoSi472,22.7770549,91.5712493
Z1021,sourcesink,SoSi473,22.8115,91.7181382
Z1022,sourcesink,SoSi474,23.380916,90.9869441
Z1022,sourcesink,SoSi475,23.4894163,91.0035278
Z1025,sourcesink,SoSi476,22.5093611,91.7125278
Z1025,sourcesink,SoSi477,22.484194100000003,91.4356386
Z1026,sourcesink,SoSi478,22.2467219,92.03030490000002
Z1026,sourcesink,SoSi479,22.2553889,92.1551389
Z1028,sourcesink,SoSi480,23.4813327,91.0586111
Z1028,sourcesink,SoSi481,23.3895552,91.0548056
Z1029,sourcesink,SoSi482,23.460555600000003,91.1644167
Z1029,sourcesink,SoSi483,23.4381386,91.0478052
Z1030,sourcesink,SoSi484,23.0248327,91.3655278
Z1030,sourcesink,SoSi485,23.940083,91.2809438
Z1031,sourcesink,SoSi486,23.0614722,91.3616667
Z1031,sourcesink,SoSi487,22.9298327,91.5527778
Z1032,sourcesink,SoSi488,23.0393608,91.5146111
Z1032,sourcesink,SoSi489,22.9438886,91.5108889
Z1033,sourcesink,SoSi490,23.0314438,91.4126389
Z1033,sourcesink,SoSi491,23.2443052,91.45075
Z1034,sourcesink,SoSi492,23.010027800000003,91.3991108
Z1034,sourcesink,SoSi493,22.8359719,91.4544722
Z1035,sourcesink,SoSi494,23.0397497,91.5204993
Z1035,sourcesink,SoSi495,23.2089722,91.441333
Z1036,sourcesink,SoSi496,22.1956108,92.0523056
Z1036,sourcesink,SoSi497,22.1768882,91.9848608
Z1037,sourcesink,SoSi498,22.0972219,92.0472219
Z1037,sourcesink,SoSi499,22.0066111,92.0540833
Z1038,sourcesink,SoSi500,23.1897219,91.4354441
Z1038,sourcesink,SoSi501,23.189833,91.4689438
Z1039,sourcesink,SoSi502,22.2862497,91.9916941
Z1039,sourcesink,SoSi503,22.1600278,92.0073056
Z1040,sourcesink,SoSi504,22.21275,92.0308049
Z1040,sourcesink,SoSi505,22.220666,91.9090556
Z1041,sourcesink,SoSi506,23.4669716,91.1634722
Z1041,sourcesink,SoSi507,23.7142222,91.0625278
Z1042,sourcesink,SoSi508,23.5126389,90.871416
Z1042,sourcesink,SoSi509,23.7812493,90.8287493
Z1043,sourcesink,SoSi510,23.7775549,90.7948608
