road,model_type,condition,name,lat,lon,length,chainage,road name2
N1,bridge,A,MAMAFOUN ASTANA CULVERT,22.8561666666666,91.5456944444444,1.5,172.122,
N1,bridge,A,MAMAFAKIR ASTANA SLAB CULVERT,22.8551388888888,91.54575,1.5,172.23,
N1,bridge,A,MASTANNAGOR BONCUL(1),22.8485555555555,91.5463333333333,8.5,172.969,
N1,bridge,A,MUSTAU NOGAR(2),22.84525,91.5474722222222,3.0,173.35,
N1,bridge,A,MASTARI HAGOR 3 CULVERT,22.8432777777777,91.5481666666666,1.5,173.585,
N1,bridge,A,MUSTAN NAGAR -4,22.8409166666666,91.5488888888888,3.0,173.859,
N1,bridge,A,RAIPUR BOX CUL-1,22.84075,91.5501388888888,3.0,174.804,
N1,bridge,A,RAIPUR (2) BOX CULVERT,22.8304166666666,91.5506111111111,4.5,175.013,
N1,bridge,C,PURPU DURGAPURE BOX CUL,22.8239722222222,91.55275,12.4,175.785,
N1,bridge,B,MUCHIPOOL CULVERT,22.81125,91.5562222222222,9.5,177.247,
N1,bridge,A,MIRSARAI BOX CUL,22.7934444444444,91.5632222222222,4.5,179.363,
N1,bridge,B,MIRAISORI BRIDGE,22.7813611111111,91.5694999999999,23.2,180.85,
N1,bridge,A,Mirsorai(2) box culvert,22.7733055555555,91.5733055555555,6.0,181.825,
N1,bridge,A,IANAINIPOL BOX CULVERT.,22.7693888888888,91.5755277777777,9.7,182.318,
N1,bridge,A,BOKIMTOLA BOX CULVERT,22.7622222222222,91.5810555555555,4.0,183.296,
N1,bridge,A,VARTAKA BOX CULVERT,22.7526666666666,91.5892777777777,12.9,184.654,
N1,bridge,A,VARTAGIA BOX CULVERT,22.7496944444444,91.5915555555555,3.0,185.058,
N1,bridge,B,BOTHAGIA (-3) BOX CULVERT,22.7433055555555,91.5949722222222,8.1,185.842,
N1,bridge,A,NIAZAMPUR BOX CULVERT,22.7221111111111,91.603,3.0,188.35,
N1,bridge,A,MIRJAPUR BOX CULVERT,22.7165277777777,91.6064444444444,3.0,189.058,
N1,bridge,A,MIRZAPUR (2) BOX CULVERT,22.7159999999999,91.6069166666666,3.0,189.13,
N1,bridge,C,ISAMATI BOX CULVERT,22.7123888888888,91.6090277777777,19.2,189.58,
N1,bridge,A,DUKHIN UTHPAR BOX CULVERT,22.7001944444444,91.6154166666666,19.2,191.107,
