road,model_type,condition,name,lat,lon,length,chainage,road name2,id
N1,bridge,A,KHAN GIOR PARA (1),21.07844444,92.21883333,185,432.865,,1001100
N1,link,,link_551,21.07788889,92.21902778,57,432.865,,1001101
N1,bridge,A,KHANGOR PRAMARY (2),21.07788889,92.21902778,63,432.924,,1001102
N1,link,,link_552,21.07655556,92.221,76,432.924,,1001103
N1,bridge,B,KHAN GOR PARA BRIDGE,21.07655556,92.221,48,433.178,,1001104
N1,link,,link_553,21.07458333,92.22208333,125,433.178,,1001105
N1,bridge,A,RHANCHOR PARA BOX CULVERT,21.07458333,92.22208333,96,433.441,,1001106
N1,link,,link_554,21.07277778,92.22316667,156,433.441,,1001107
N1,bridge,A,KHANCHOR PARA (2),21.07277778,92.22316667,44,433.665,,1001108
N1,link,,link_555,21.07186111,92.22419444,51,433.665,,1001109
N1,bridge,A,KHANCHOR PARA- BOX CULVERT,21.07186111,92.22419444,115,433.826,,1001110
N1,link,,link_556,21.06927778,92.22461111,283,433.826,,1001111
N1,bridge,A,NOYA PARA (1) BOX CULVERT,21.06927778,92.22461111,386,434.124,,1001112
N1,link,,link_557,21.06691667,92.22466667,78,434.124,,1001113
N1,bridge,C,NOYA PARA (1) BRIDGE,21.06691667,92.22466667,134,434.37,,1001114
N1,link,,link_558,21.06516667,92.22458333,136,434.37,,1001115
N1,bridge,A,NAYAPARA,21.06516667,92.22458333,349,434.573,,1001116
N1,link,,link_559,21.06269444,92.22569444,497,434.573,,1001117
N1,bridge,A,NOYA PARA,21.06269444,92.22569444,470,434.831,,1001118
N1,link,,link_560,21.06211111,92.2265,211,434.831,,1001119
N1,bridge,B,GIMON KHALI BRIDGE,21.06211111,92.2265,252,435.013,,1001120
N1,link,,link_561,21.06953633,92.22456877,202,435.013,,1001121
N1,bridge,C,Gim-mogari Bridge,21.06953633,92.22456877,309,435.22,,1001122
N1,link,,link_562,21.05505556,92.22655556,303,435.22,,1001123
N1,bridge,A,NINA BAZAR BOX CULVERT,21.05505556,92.22655556,246,435.748,,1001124
N1,link,,link_563,21.05125,92.23013889,321,435.748,,1001125
N1,bridge,B,NOYA BAZAR BRIDGE,21.05125,92.23013889,179,436.388,,1001126
N1,link,,link_564,21.05144444,92.2325,136,436.388,,1001127
N1,bridge,C,NOYA BAZAR CULVERT,21.05144444,92.2325,100,436.6,,1001128
N1,link,,link_565,21.05088889,92.23333333,139,436.6,,1001129
N1,bridge,B,NAYA BAZAR BRIDGE,21.05088889,92.23333333,219,436.789,,1001130
N1,link,,link_566,21.1165,92.1969163,164,436.789,,1001131
N1,bridge,C,Naya Bazar(3) Bridge,21.1165,92.1969163,213,437.063,,1001132
N1,link,,link_567,21.04458333,92.23580556,134,437.063,,1001133
N1,bridge,C,KHARANG KHALI - BOX CUVERT (1),21.04458333,92.23580556,166,437.484,,1001134
N1,link,,link_568,21.04041667,92.23733333,387,437.484,,1001135
N1,bridge,C,KHARANG KHAIL,21.04041667,92.23733333,407,437.961,,1001136
N1,link,,link_569,21.03588889,92.23980556,612,437.961,,1001137
N1,bridge,C,MOULIVI BAZAR FISHARI BRIDGE,21.03588889,92.23980556,259,438.506,,1001138
N1,link,,link_570,21.03202778,92.24127778,455,438.506,,1001139
N1,bridge,C,MOULOVI BAZAR BOX CULVERT (1),21.03202778,92.24127778,382,439.007,,1001140
N1,link,,link_571,21.03008333,92.24111111,518,439.007,,1001141
N1,bridge,C,MOULOVI BAZAR BOX CULVERT,21.03008333,92.24111111,587,439.235,,1001142
N1,link,,link_572,21.02622222,92.24183333,634,439.235,,1001143
N1,bridge,A,ALI AXBAR PARA BOX CULVERT,21.02622222,92.24183333,262,439.579,,1001144
N1,link,,link_573,21.097333,92.2106111,235,439.579,,1001145
N1,bridge,C,Nila-Hoab Rabg Bridge,21.097333,92.2106111,320,440.028,,1001146
N1,link,,link_574,21.01694444,92.24397222,251,440.028,,1001147
N1,bridge,A,NILLA BOX CULVERT (1),21.01694444,92.24397222,372,440.724,,1001148
N1,link,,link_575,21.01513889,92.24527778,368,440.724,,1001149
N1,bridge,A,NILA. BARAR BOX CULVERT,21.01513889,92.24527778,407,440.977,,1001150
N1,link,,link_576,21.01,92.24927778,288,440.977,,1001151
N1,bridge,A,NILA - DORGA- PARA-(1) BOX,21.01,92.24927778,713,441.666,,1001152
N1,link,,link_577,21.00833333,92.25102778,402,441.666,,1001153
N1,bridge,A,NILA DOGA PARA BOX CULVERT,21.00833333,92.25102778,121,441.974,,1001154
N1,link,,link_578,21.00675,92.25194444,400,441.974,,1001155
N1,bridge,A,NAT MURA PARA BOX CULVERT,21.00675,92.25194444,636,442.161,,1001156
N1,link,,link_579,21.0728327,92.2232216,138,442.161,,1001157
N1,bridge,C,Chowdhory Para Bridge,21.0728327,92.2232216,218,443.024,,1001158
N1,link,,link_580,20.99433333,92.25461111,585,443.024,,1001159
N1,bridge,B,RONGI HALI BOX CULVERT,20.99433333,92.25461111,978,443.564,,1001160
N1,link,,link_581,21.0650556,92.2245271,756,443.564,,1001161
N1,bridge,C,Rongi-Khali Bridge,21.0650556,92.2245271,925,444.315,,1001162
N1,link,,link_582,20.97752778,92.25066667,1344,444.315,,1001163
N1,bridge,C,ALA KHALI KUNA PARA,20.97752778,92.25066667,400,445.478,,1001164
N1,link,,link_583,20.96961111,92.24863889,508,445.478,,1001165
N1,bridge,C,LADA BAZAR BOX CULVERT,20.96961111,92.24863889,298,446.435,,1001166
N1,link,,link_584,21.0407497,92.2374997,1902,446.435,,1001167
N1,bridge,A,Ladapara Bridge,21.0407497,92.2374997,1081,446.71,,1001168
N1,link,,link_585,20.96491667,92.25147222,1343,446.71,,1001169
N1,bridge,A,NAYAPARA BOX CULVERT,20.96491667,92.25147222,817,447.084,,1001170
N1,link,,link_586,20.96238889,92.25291667,951,447.084,,1001171
N1,bridge,B,NOYAPARA RCC GIDER BRIDGE,20.96238889,92.25291667,931,447.401,,1001172
N1,link,,link_587,20.95822222,92.25430556,343,447.401,,1001173
N1,bridge,A,NAYA PARA BOX CULVERT,20.95822222,92.25430556,325,447.893,,1001174
N1,link,,link_588,20.95686111,92.25480556,405,447.893,,1001175
N1,bridge,B,MOSINNI RCC GIDER BRIDGE,20.95686111,92.25480556,267,448.054,,1001176
N1,link,,link_589,20.95302778,92.25652778,607,448.054,,1001177
