road,type,condition,name,lat,lon,length
N1,RCC Girder Bridge,A,RAMPUR BRIDGE,22.9961666666666,91.4004166666666,23.4
N1,PC Girder Bridge,A,Rampur Bridge(R),22.9945936133042,91.4024539137404,22.15
N1,Box Culvert,A,.,22.9806944444444,91.4171666666666,1.9
N1,PC Girder Bridge,B,LAMUA BRIDGE,22.9623611111111,91.4417222222222,94.05
N1,PC Girder Bridge,C,Lemua Bridge(L),22.9625,91.4416666666666,98.87
N1,Box Culvert,A,FAZAILPUR BOXCULVERT,22.9484444444444,91.4781388888888,1.5
N1,PC Girder Bridge,B,MUHURI BRIDGE,22.9496388888888,91.5007777777777,191.5
N1,PC Girder Bridge,B,Muhuri Bridge(L),22.9497222222222,91.5008333333333,193.22
N1,PC Girder Bridge,B,DHOOM GHAT PC GIRDER,22.9156666666666,91.5259722222222,220.6
N1,PC Girder Bridge,A,DumGhat Bridge(L),22.9155555555555,91.5252777777777,222.43
N1,Box Culvert,A,BUMGAT BOXCULVERT,22.9103611111111,91.5285555555555,6.1
N1,Slab Culvert,A,BOROYAR PARA SLUB CULVERT,22.9050277777777,91.5312222222222,3.0
N1,Box Culvert,A,BAROYARHAT BOX CULVERT,22.8922777777777,91.5353055555555,3.0
N1,Box Culvert,A,UTTOR SONAPAR BOX CULVERT,22.8751944444444,91.5406666666666,4.3
N1,Box Culvert,A,CHAIRMEN BARI BOX CULVERT,22.8731666666666,91.5414166666666,2.0
N1,Box Culvert,A,MADDAM SONAPAR(1) BOX CULVERT,22.8684166666666,91.5431111111111,1.5
N1,Box Culvert,A,DHARBAR TILA CULVERT,22.86125,91.5453055555555,4.3
N1,Box Culvert,A,MADDUM SONAPHAR-3,22.8596388888888,91.5429722222222,2.0
N1,Box Culvert,A,MAMAFOUN ASTANA CULVERT,22.8561666666666,91.5456944444444,1.5
N1,Slab Culvert,A,MAMAFAKIR ASTANA SLAB CULVERT,22.8551388888888,91.54575,1.5
N1,Box Culvert,A,MASTANNAGOR BONCUL(1),22.8485555555555,91.5463333333333,8.5
N1,Box Culvert,A,MUSTAU NOGAR(2),22.84525,91.5474722222222,3.0
N1,Box Culvert,A,MASTARI HAGOR 3 CULVERT,22.8432777777777,91.5481666666666,1.5
N1,Box Culvert,A,MUSTAN NAGAR -4,22.8409166666666,91.5488888888888,3.0
N1,Box Culvert,A,RAIPUR BOX CUL-1,22.84075,91.5501388888888,3.0
N1,Box Culvert,A,RAIPUR (2) BOX CULVERT,22.8304166666666,91.5506111111111,4.5
N1,Box Culvert,C,PURPU DURGAPURE BOX CUL,22.8239722222222,91.55275,12.4
N1,Box Culvert,B,MUCHIPOOL CULVERT,22.81125,91.5562222222222,9.5
