Unnamed: 0,road,name,LRP Start,Offset Start,Chainage Start,LRP_end,Óffset_end,Chainage_end,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitude Decimal,road_number,EVV,Chainage,Chainag_end,Condition_A_Count,Condition_B_Count,Condition_C_Count,Condition_D_Count,Flood_Risk_A_Count,Flood_Risk_B_Count,Flood_Risk_C_Count,Flood_Risk_D_Count,Weighted_Sum
66,N1,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 ,LRP093,1090,91.583,LRP105,3631,105.879,14.296,307.5,5661.5,809.0,1331.0,314.0,519.0,269.5,778.5,1420.5,377.0,68.0,143.5,0.0,11787.5,211.5,11999.0,11999.0,LRP093,90.493,Km Post,Ctg 168 km,23.4236938,91.1626944,N1,74365.5,91.583,105.879,4.0,1.0,4.0,0.0,0.0,9.0,0.0,0.0,36.0
69,N1,Miabazar Z1046 - Chauddagram(Int.with Z1045) ,LRP105,3631,105.879,LRP105,17450,119.698,13.819,307.5,5661.5,809.0,1331.0,314.0,519.0,269.5,778.5,1420.5,377.0,68.0,143.5,0.0,11787.5,211.5,11999.0,11999.0,LRP105,102.248,Km Post,"Ctg 156 km,Feni 43 km",23.3615278,91.2515556,N1,74365.5,105.879,119.698,7.0,12.0,0.0,0.0,0.0,19.0,0.0,0.0,69.0
72,N1,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) ,LRP105,17450,119.698,LRP142,230,138.869,19.171,428.5,3676.5,794.5,770.5,309.0,681.0,278.5,548.5,844.5,338.5,34.5,118.0,0.0,8670.0,152.5,8822.5,8822.5,LRP105,102.248,Km Post,"Ctg 156 km,Feni 43 km",23.3615278,91.2515556,N1,54554.75,119.698,138.869,7.0,14.0,1.0,0.0,0.0,22.0,0.0,0.0,82.0
75,N1,Md. Ali bazar (Int.with Z1031)-Int.with Z1031 ,LRP142,230,138.869,LRP143,500,140.251,1.382,428.5,3676.5,794.5,770.5,309.0,681.0,278.5,548.5,844.5,338.5,34.5,118.0,0.0,8670.0,152.5,8822.5,8822.5,LRP142,138.639,Km Post,Ctg 103 km,23.0635278,91.3616389,N1,54554.75,138.869,140.251,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
78,N1,Int.with Z1031 - Elahiganj (Feni) Z1030 ,LRP143,500,140.251,LRP146,240,143.034,2.783,677.0,4804.0,1204.5,2078.5,627.5,977.5,232.5,764.5,1444.0,378.5,120.0,231.5,0.0,13188.5,351.5,13540.0,13540.0,LRP143,139.751,Km Post,Ctg 102 km,23.0538611,91.3637222,N1,83384.5,140.251,143.034,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
81,N1,Elahiganj (Feni) Z1030- Feni (Int.with N104) ,LRP146,240,143.034,LRP147,1614,145.409,2.375,677.0,4804.0,1204.5,2078.5,627.5,977.5,232.5,764.5,1444.0,378.5,120.0,231.5,0.0,13188.5,351.5,13540.0,13540.0,LRP146,142.794,Km Post,"Ctg 99 km,Feni 3 km",23.0269716,91.3655,N1,83384.5,143.034,145.409,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
84,N1,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) ,LRP147,1614,145.409,LRP152,448,149.289,3.88,352.5,5765.5,1594.5,1595.0,649.5,1163.0,320.0,1025.5,1259.0,412.0,92.5,197.5,0.0,14136.5,290.0,14426.5,14426.5,LRP147,143.795,Km Post,"Ctg 98 km,Feni 2 km",23.0193604,91.3697771,N1,88897.75,145.409,149.289,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0
87,N1,Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) ,LRP152,448,149.289,LRP160,738,157.685,8.396,415.0,5049.5,1091.0,1566.5,266.0,694.0,258.5,903.0,843.5,197.0,212.0,164.5,0.0,11284.0,376.5,11660.5,11660.5,LRP152,148.841,Km Post,"Ctg 93 km,Lalpole 1 km",22.9906941,91.4072222,N1,73853.5,149.289,157.685,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0
90,N1,Fazilpur Z1081 - Muhuriganj Z1032 ,LRP160,738,157.685,LRP164,619,161.582,3.897,352.5,5765.5,1594.5,1595.0,649.5,1163.0,320.0,1025.5,1259.0,412.0,92.5,197.5,0.0,14136.5,290.0,14426.5,14426.5,LRP160,156.947,Km Post,"Ctg 85 km,Bairyahat 10 km",22.9479997,91.4689993,N1,88897.75,157.685,161.582,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0
93,N1,Muhuriganj Z1032-Baraiyerhat R151 ,LRP164,619,161.582,LRP164,6720,167.683,6.101,371.0,3986.0,1014.0,1335.5,532.5,758.5,298.0,770.0,2275.5,331.5,92.0,266.5,0.0,11672.5,358.5,12031.0,12031.0,LRP164,160.963,Km Post,Ctg 81 kkm,22.9482774,91.50725,N1,67431.0,161.582,167.683,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0
96,N1,Baraiyerhat R151- Mirersarai Z1021 ,LRP164,6720,167.683,LRP164,20501,181.464,13.781,371.0,3986.0,1014.0,1335.5,532.5,758.5,298.0,770.0,2275.5,331.5,92.0,266.5,0.0,11672.5,358.5,12031.0,12031.0,LRP164,160.963,Km Post,Ctg 81 kkm,22.9482774,91.50725,N1,67431.0,167.683,181.464,15.0,2.0,1.0,0.0,2.0,16.0,0.0,0.0,56.0
99,N1,Mirersarai Z1021 - Baroirdala Z1086 ,LRP164,20501,181.464,LRP197,1120,194.603,13.139,371.0,3986.0,1014.0,1335.5,532.5,758.5,298.0,770.0,2275.5,331.5,92.0,266.5,0.0,11672.5,358.5,12031.0,12031.0,LRP164,160.963,Km Post,Ctg 81 kkm,22.9482774,91.50725,N1,67431.0,181.464,194.603,12.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,45.0
102,N1,Baroirdala Z1086- Barabkunda Z1087 ,LRP197,1120,194.603,LRP209,486,206.402,11.799,1101.5,5224.5,1228.0,1573.5,607.5,862.0,238.5,803.0,2799.5,433.0,101.0,319.0,0.0,14871.0,420.0,15291.0,15291.0,LRP197,193.483,Km Post,"Ctg 48 km,Sitakanda 8 km",22.6825549,91.6241938,N1,89902.5,194.603,206.402,17.0,3.0,1.0,0.0,0.0,21.0,0.0,0.0,68.0
105,N1,Barabkunda Z1087-Fouzderhat Z1016 ,LRP209,486,206.402,LRP225,6400,228.406,22.004,1101.5,5224.5,1228.0,1573.5,607.5,862.0,238.5,803.0,2799.5,433.0,101.0,319.0,0.0,14871.0,420.0,15291.0,15291.0,LRP209,205.916,Km Post,Info.Missing,22.584583,91.6780827,N1,89902.5,206.402,228.406,18.0,6.0,2.0,2.0,0.0,28.0,0.0,0.0,100.0
108,N1,Fouzderhat Z1016 - Alonker Cinema Hall (Chittagong),LRP225,6400,228.406,LRP225,10748,232.754,4.348,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,9550.0,LRP225,222.006,Km Post,Info.Missing,22.4518611,91.4666111,N1,39422.5,228.406,232.754,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0
