,road,name,LRP Start,Offset Start,Chainage Start,LRP_end,Óffset_end,Chainage_end,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitude Decimal,road_number,EVV
1134,N602,New Bus Stand(Int.with N6)-Madrasa More (int.with N502),LRPS,0,0.0,LRPS,1250,1.25,1.25,0.0,346.0,381.0,63.0,97.0,90.0,77.0,171.0,11329.0,3743.0,1992.0,1373.0,0.0,16297.0,3365.0,19662.0,19662.0,LRPS,0,Others,"Road start N-6 at New Bus Stand More, Harishpur,Natore.",24.4105833,89.0080278,N602,36422.0
1137,N602,Madrasa More (int.with N502) -int.with R548,LRPS,1250,1.25,LRPS,5000,5.0,3.75,0.0,346.0,381.0,63.0,97.0,90.0,77.0,171.0,11329.0,3743.0,1992.0,1373.0,0.0,16297.0,3365.0,19662.0,19662.0,LRPS,0,Others,"Road start N-6 at New Bus Stand More, Harishpur,Natore.",24.4105833,89.0080278,N602,36422.0
1140,N602,int.with R548-Bon Belghoria (Shimultala),LRPS,5000,5.0,LRPE,0,5.64,0.64,0.0,346.0,381.0,63.0,97.0,90.0,77.0,171.0,11329.0,3743.0,1992.0,1373.0,0.0,16297.0,3365.0,19662.0,19662.0,LRPS,0,Others,"Road start N-6 at New Bus Stand More, Harishpur,Natore.",24.4105833,89.0080278,N602,36422.0
1143,N603,Belpukur (Rajshahi)-Khorkhori Bypass(Int.with Z6010),LRPS,0,0.0,LRP009,300,9.3,9.3,267.0,1854.0,1123.0,390.0,308.0,199.0,142.0,224.0,1324.0,1307.0,835.0,670.0,0.0,7138.0,1505.0,8643.0,8643.0,LRPS,0,Others,Road start at Belpukur from N6.,24.3663889,88.7263882,N603,37076.5
1146,N603,Int.with R685-Kasiadanga,LRP012,1700,13.7,LRPE,0,21.03,7.33,267.0,1854.0,1123.0,390.0,308.0,199.0,142.0,224.0,1324.0,1307.0,835.0,670.0,0.0,7138.0,1505.0,8643.0,8643.0,LRP012,12,Km Post,Kashiadanga 10 km,24.40325,88.6239716,N603,37076.5
1149,N603,Khorkhori Bypass(Int.with Z6010)-Int.with R685,LRP009,300,9.3,LRP012,1700,13.7,4.4,267.0,1854.0,1123.0,390.0,308.0,199.0,142.0,224.0,1324.0,1307.0,835.0,670.0,0.0,7138.0,1505.0,8643.0,8643.0,LRP009,9,Km Post,Kashiadanga 13 km,24.3979997,88.6528611,N603,37076.5
1152,N604,Pabna (Central Bus Stand)-Pabna (Anonta More) int.with R601,LRPS,0,0.0,LRPS,1990,1.99,1.99,21.0,395.0,341.0,198.0,96.0,145.0,84.0,139.0,4187.0,2698.0,2110.0,2172.0,2.0,8304.0,4284.0,12588.0,12588.0,LRPS,0,Others,"Start at Traffic more Bus Stand Infront of Maa General Store and Intersection with N6,Pabna.",24.0073889,89.2587222,N604,23414.0
1155,N604,Pabna (Anonta More)int.with R601 -Police Line More(Int.with R603 ),LRPS,1990,1.99,LRPS,3386,3.386,1.396,21.0,395.0,341.0,198.0,96.0,145.0,84.0,139.0,4187.0,2698.0,2110.0,2172.0,2.0,8304.0,4284.0,12588.0,12588.0,LRPS,0,Others,"Start at Traffic more Bus Stand Infront of Maa General Store and Intersection with N6,Pabna.",24.0073889,89.2587222,N604,23414.0
1158,N604,Police Line More(Int.with R603 )-Pabna (Ghospara),LRPS,3386,3.386,LRPE,0,7.83,4.444,21.0,395.0,341.0,198.0,96.0,145.0,84.0,139.0,4187.0,2698.0,2110.0,2172.0,2.0,8304.0,4284.0,12588.0,12588.0,LRPS,0,Others,"Start at Traffic more Bus Stand Infront of Maa General Store and Intersection with N6,Pabna.",24.0073889,89.2587222,N604,23414.0
1161,N605,"CEB more from N6-Int. With R680,",LRPS,0,0.0,LRPS,2960,2.96,2.96,267.0,1854.0,1123.0,390.0,308.0,199.0,142.0,224.0,1324.0,1307.0,835.0,670.0,0.0,7138.0,1505.0,8643.0,8643.0,LRPS,0,Others,Start from CEB more from N6,24.3684438,88.5811104,N605,37076.5
1164,N7,Dauladia-Jamtala (Int.with Z7106),LRPS,0,0.0,LRPS,6400,6.4,6.4,47.0,832.0,505.0,1127.0,254.0,416.0,125.0,302.0,1226.0,1083.0,749.0,769.0,0.0,5917.0,1518.0,7435.0,7435.0,LRPS,0,Others,Start of road from Dauladia Ferry Ghat Infront of 3NO Ghat.,23.7689716,89.7870552,N7,28113.5
1167,N7,Jamtala (Int.with Z7106)-Goalanda (Zamindar Bridge) Int.with Z7108,LRPS,6400,6.4,LRPS,7670,7.67,1.27,47.0,832.0,505.0,1127.0,254.0,416.0,125.0,302.0,1226.0,1083.0,749.0,769.0,0.0,5917.0,1518.0,7435.0,7435.0,LRPS,0,Others,Start of road from Dauladia Ferry Ghat Infront of 3NO Ghat.,23.7689716,89.7870552,N7,28113.5
1170,N7,"Goalanda (Zamindar Bridge) Z7108-Ahladipur, Int.with R710",LRPS,7670,7.67,LRP013,780,13.78,6.11,49.0,831.0,495.0,1126.0,267.0,417.0,124.0,304.0,1510.0,839.0,300.0,336.0,0.0,5962.0,636.0,6598.0,6598.0,LRPS,0,Others,Start of road from Dauladia Ferry Ghat Infront of 3NO Ghat.,23.7689716,89.7870552,N7,27801.0
1173,N7,"Jhenaidah Bus Terminal (Int.with N703, N712), Al-Hera Bus stand (Int.with N712)",LRP102,700,103.311,LRP106,598,106.639,3.328,54.0,1004.0,756.0,863.0,493.0,503.0,105.0,378.0,1540.0,1133.0,700.0,755.0,0.0,6829.0,1455.0,8284.0,8284.0,LRP102,102.611,Km Post,"Jhenaidah 4 km,Khulna 110 km",23.5414719,89.1976941,N7,32145.0
1176,N7,Al-Hera Bus stand (Int.with N712)-Int.with Z7460(Kaliganj),LRP106,598,106.639,LRP119,102,119.74,13.101,33.0,1286.0,655.0,595.0,845.0,298.0,83.0,365.0,1779.0,1324.0,874.0,504.0,0.0,7263.0,1378.0,8641.0,8641.0,LRP106,106.041,Km Post,Km post broken,23.5259993,89.1745271,N7,33095.0
1179,N7,Int.with Z7460(Kaliganj)-Kaliganj Bus stand (Int.with R748),LRP119,102,119.74,LRP119,720,120.358,0.618,33.0,1286.0,655.0,595.0,845.0,298.0,83.0,365.0,1779.0,1324.0,874.0,504.0,0.0,7263.0,1378.0,8641.0,8641.0,LRP119,119.638,Km Post,"Jessore 30 km,Khulna 91 km",23.4148889,89.1352219,N7,33095.0
1182,N7,Kaliganj Bus stand (Int.with R748)-Dulal Mondia Bazar Z7057,LRP119,720,120.358,LRP122,810,123.448,3.09,166.0,1759.0,749.0,948.0,519.0,240.0,252.0,307.0,941.0,898.0,833.0,159.0,0.0,6779.0,992.0,7771.0,7771.0,LRP119,119.638,Km Post,"Jessore 30 km,Khulna 91 km",23.4148889,89.1352219,N7,36957.5
1185,N7,Dulal Mondia Bazar Z7057 -Churamonkathi Bazar ( Z7031),LRP122,810,123.448,LRP141,440,142.142,18.694,166.0,1759.0,749.0,948.0,519.0,240.0,252.0,307.0,941.0,898.0,833.0,159.0,0.0,6779.0,992.0,7771.0,7771.0,LRP122,122.638,Km Post,"Jessore 27 km,Khulna 88 km",23.388333,89.1371941,N7,36957.5
1188,N7,"Ahladipur, Int.with R710-Goalchamot (Faridpur) Int.with N804",LRP013,780,13.78,LRP028,1500,29.54,15.76,51.0,1070.0,378.0,1362.0,77.0,418.0,185.0,354.0,1621.0,982.0,242.0,359.0,0.0,6498.0,601.0,7099.0,7099.0,LRP013,13,Km Post,"Faridpur 21 km,Khulna 167 km",23.6893608,89.704,N7,30123.0
1191,N7,Churamonkathi Bazar ( Z7031)-Palbari (Int.with N707),LRP141,440,142.142,LRP146,450,147.121,4.979,166.0,1759.0,749.0,948.0,519.0,240.0,252.0,307.0,941.0,898.0,833.0,159.0,0.0,6779.0,992.0,7771.0,7771.0,LRP141,141.702,Km Post,"Jessore 08 km,Satkhira 75 km",23.221916,89.1640833,N7,36957.5
1194,N7,Palbari (Int.with N707)-Chanchra More (Int.with N706),LRP146,450,147.121,LRP150,570,151.261,4.14,115.0,1818.0,932.0,970.0,479.0,642.0,159.0,314.0,1559.0,1413.0,1063.0,1174.0,0.0,8401.0,2237.0,10638.0,10638.0,LRP146,146.671,Km Post,"Jessore 3 km,Satkhira 70 km",23.1842774,89.1879441,N7,42747.5
1197,N7,Chanchra More (Int.with N706) -Murail (Int.with N707),LRP150,570,151.261,LRP154,1130,155.578,4.317,115.0,1818.0,932.0,970.0,479.0,642.0,159.0,314.0,1559.0,1413.0,1063.0,1174.0,0.0,8401.0,2237.0,10638.0,10638.0,LRP150,150.691,Km Post,"Benapol 36 km,Khulna 62 km",23.1495552,89.1959719,N7,42747.5
1200,N7,Murail (Int.with N707) - Rajarhat R755,LRP154,1130,155.578,LRP156,600,157.078,1.5,115.0,1818.0,932.0,970.0,479.0,642.0,159.0,314.0,1559.0,1413.0,1063.0,1174.0,0.0,8401.0,2237.0,10638.0,10638.0,LRP154,154.448,Km Post,"Noapara 26 km,Khulna 58 km",23.1425552,89.2263604,N7,42747.5
1203,N7,Rajarhat R755- Prembag (Int.with Z7049),LRP156,600,157.078,LRP170,650,171.168,14.09,115.0,1818.0,932.0,970.0,479.0,642.0,159.0,314.0,1559.0,1413.0,1063.0,1174.0,0.0,8401.0,2237.0,10638.0,10638.0,LRP156,156.478,Km Post,"Khulna 65 km,Daulatpur 45 km",23.1420274,89.2457219,N7,42747.5
1206,N7,Prembag (Int.with Z7049) -Prembag Int.with Z7048,LRP170,650,171.168,LRP171,376,171.894,0.726,115.0,1818.0,932.0,970.0,479.0,642.0,159.0,314.0,1559.0,1413.0,1063.0,1174.0,0.0,8401.0,2237.0,10638.0,10638.0,LRP170,170.518,Km Post,"Khulna 42 km,Noapara 10 km",23.1029722,89.3533889,N7,42747.5
1209,N7,Prembag Int.with Z7048 -Phultala Int.with Z7030,LRP171,376,171.894,LRP190,195,190.105,18.211,115.0,1818.0,932.0,970.0,479.0,642.0,159.0,314.0,1559.0,1413.0,1063.0,1174.0,0.0,8401.0,2237.0,10638.0,10638.0,LRP171,171.518,Km Post,"Khulna 41 km,Bagerhat 61 km",23.0941108,89.3541667,N7,42747.5
1212,N7,Phultala Int.with Z7030 -Phultala (Int.with Z7043),LRP190,195,190.105,LRP190,555,190.465,0.36,107.0,1988.0,300.0,443.0,338.0,214.0,165.0,227.0,2677.0,1835.0,1576.0,2099.0,0.0,8294.0,3675.0,11969.0,11969.0,LRP190,189.91,Km Post,Khulna 23 km,22.9773882,89.4703327,N7,36525.0
1215,N7,"Phultala (Int.with Z7043) - Afilgat, Fultala (Int.with N709)",LRP190,555,190.465,LRP195,186,195.154,4.689,107.0,1988.0,300.0,443.0,338.0,214.0,165.0,227.0,2677.0,1835.0,1576.0,2099.0,0.0,8294.0,3675.0,11969.0,11969.0,LRP190,189.91,Km Post,Khulna 23 km,22.9773882,89.4703327,N7,36525.0
1218,N7,"Afilgat, Fultala (Int.with N709)-Fulbari Railgate (Int.with Z7040)",LRP195,186,195.154,LRP201,925,201.9,6.746,107.0,1988.0,300.0,443.0,338.0,214.0,165.0,227.0,2677.0,1835.0,1576.0,2099.0,0.0,8294.0,3675.0,11969.0,11969.0,LRP195,194.968,Km Post,Khulna 18 km,22.9371941,89.4870274,N7,36525.0
1221,N7,Fulbari Railgate (Int.with Z7040) -Power house More (Int.with R760) (Left),LRP201,925,201.9,LRP210,349,210.364,8.464,107.0,1988.0,300.0,443.0,338.0,214.0,165.0,227.0,2677.0,1835.0,1576.0,2099.0,0.0,8294.0,3675.0,11969.0,11969.0,LRP201,200.975,Km Post,Khulna 12 km,22.8906941,89.5134722,N7,36525.0
1224,N7,Power house More (Int.with R760) -Rupsha Ghat Start,LRP210,349,210.364,LRP210,3685,213.7,3.336,107.0,1988.0,300.0,443.0,338.0,214.0,165.0,227.0,2677.0,1835.0,1576.0,2099.0,0.0,8294.0,3675.0,11969.0,11969.0,LRP210,210.015,Km Post,Khulna 2 km,22.8209993,89.5554444,N7,36525.0
1227,N7,Rupsha Ghat End-Rupsha (Int.with R771),LRP210,3685,213.7,LRP210,4325,214.34,0.64,87.0,1734.0,824.0,465.0,712.0,544.0,252.0,475.0,1176.0,2086.0,1366.0,1399.0,0.0,8355.0,2765.0,11120.0,11120.0,LRP210,210.015,Km Post,Khulna 2 km,22.8209993,89.5554444,N7,39458.0
1230,N7,Rupsha (Int.with R771) -Kudir battala (Int.with N709),LRP210,4325,214.34,LRP219,470,218.961,4.621,87.0,1734.0,824.0,465.0,712.0,544.0,252.0,475.0,1176.0,2086.0,1366.0,1399.0,0.0,8355.0,2765.0,11120.0,11120.0,LRP210,210.015,Km Post,Khulna 2 km,22.8209993,89.5554444,N7,39458.0
1233,N7,Kudir battala (Int.with N709) - Katakhali (Int.with N805),LRP219,470,218.961,LRP223,715,223.226,4.265,87.0,1734.0,824.0,465.0,712.0,544.0,252.0,475.0,1176.0,2086.0,1366.0,1399.0,0.0,8355.0,2765.0,11120.0,11120.0,LRP219,218.491,Km Post,Mongla 37 km,22.7786382,89.6165278,N7,39458.0
1236,N7,"Katakhali (Int.with N805) - End of Road, Digraj",LRP223,715,223.226,LRP250,74,249.665,26.439,87.0,1734.0,824.0,465.0,712.0,544.0,252.0,475.0,1176.0,2086.0,1366.0,1399.0,0.0,8355.0,2765.0,11120.0,11120.0,LRP223,222.511,Km Post,Mongla 33 km,22.7469997,89.6327771,N7,39458.0
1239,N7,"Goalchamot (Faridpur) Int.with N804-Maijkandi, Int.with Z7001",LRP028,1500,29.54,LRP041,981,42.001,12.461,51.0,1070.0,378.0,1362.0,77.0,418.0,185.0,354.0,1621.0,982.0,242.0,359.0,0.0,6498.0,601.0,7099.0,7099.0,LRP028,28.04,Km Post,"Faridpur 6 km,Barisal 138 km",23.5943886,89.7952774,N7,30123.0
1242,N7,"Maijkandi, Int.with Z7001-Modhukhali (Int.with Z7102)",LRP041,981,42.001,LRP052,277,52.48,10.479,59.0,1103.0,748.0,667.0,346.0,752.0,317.0,354.0,1053.0,1021.0,440.0,440.0,0.0,6420.0,880.0,7300.0,7300.0,LRP041,41.02,Km Post,"Magura 36 km,Jessore 80 km",23.5377219,89.7326104,N7,30955.0
1245,N7,Modhukhali (Int.with Z7102)-WAPDA More (Int.with Z7008),LRP052,277,52.48,LRP066,240,66.587,14.107,63.0,1164.0,715.0,685.0,220.0,649.0,292.0,323.0,1504.0,1122.0,686.0,763.0,0.0,6737.0,1449.0,8186.0,8186.0,LRP052,52.203,Km Post,"Magura 25 km,Jessore 69 km",23.5428608,89.6295827,N7,31388.0
1248,N7,WAPDA More (Int.with Z7008) -Ramnagar (Magura) Int.with Z7007,LRP066,240,66.587,LRP067,3610,70.967,4.38,59.0,1103.0,748.0,667.0,346.0,752.0,317.0,354.0,1053.0,1021.0,440.0,440.0,0.0,6420.0,880.0,7300.0,7300.0,LRP066,66.347,Km Post,"Magura 11 km,Jessore 55 km",23.5357774,89.5113889,N7,30955.0
1251,N7,Ramnagar (Magura) Int.with Z7007-Int.with Z7012,LRP067,3610,70.967,LRP076,15,76.382,5.415,63.0,1164.0,715.0,685.0,220.0,649.0,292.0,323.0,1504.0,1122.0,686.0,763.0,0.0,6737.0,1449.0,8186.0,8186.0,LRP067,67.357,Km Post,"Magura 10 km,Jhenaidah 39 km",23.5313049,89.5027778,N7,31388.0
1254,N7,Int.with Z7012-Int.with R720,LRP076,15,76.382,LRP076,1385,77.752,1.37,63.0,1164.0,715.0,685.0,220.0,649.0,292.0,323.0,1504.0,1122.0,686.0,763.0,0.0,6737.0,1449.0,8186.0,8186.0,LRP076,76.367,Km Post,"Magura 1 km,Jessore 45 km",23.4908052,89.429916,N7,31388.0
1257,N7,Int.with R720-Int.with N702,LRP076,1385,77.752,LRP076,1420,77.787,0.035,54.0,1004.0,756.0,863.0,493.0,503.0,105.0,378.0,1540.0,1133.0,700.0,755.0,0.0,6829.0,1455.0,8284.0,8284.0,LRP076,76.367,Km Post,"Magura 1 km,Jessore 45 km",23.4908052,89.429916,N7,32145.0
1260,N7,Int.with N702-Int.with Z7011,LRP076,1420,77.787,LRP078,150,78.487,0.7,54.0,1004.0,756.0,863.0,493.0,503.0,105.0,378.0,1540.0,1133.0,700.0,755.0,0.0,6829.0,1455.0,8284.0,8284.0,LRP076,76.367,Km Post,"Magura 1 km,Jessore 45 km",23.4908052,89.429916,N7,32145.0
1263,N7,"Int.with Z7011-Jhenaidah Bus Terminal (Int.with N703, N712)",LRP078,150,78.487,LRP102,700,103.311,24.824,33.0,1286.0,655.0,595.0,845.0,298.0,83.0,365.0,1779.0,1324.0,874.0,504.0,0.0,7263.0,1378.0,8641.0,8641.0,LRP078,78.337,Km Post,"Jhenaidah 27 km,Kushtia 71 km",23.4853886,89.4136667,N7,33095.0
1266,N701,Int.with N7-Int.with N7,LRPS,0,0.0,LRPE,0,1.0,1.0,73.0,381.0,288.0,558.0,153.0,139.0,33.0,159.0,1096.0,1358.0,1629.0,864.0,0.0,4238.0,2493.0,6731.0,6731.0,LRPS,0,Others,Start of road from N7 at Dauladia Ferry Ghate.,23.7689716,89.7870552,N701,17117.5
1269,N702,Jessore (Daratana More)-Khajura(Int.with Z7057),LRPS,0,0.0,LRP015,374,14.364,14.364,73.0,381.0,288.0,558.0,153.0,139.0,33.0,159.0,1096.0,1358.0,1629.0,864.0,0.0,4238.0,2493.0,6731.0,6731.0,LRPS,0,Others,"Start from Daratana more Traffic Island,Intersection with N-707,Jessore.",23.1665833,89.2095,N702,17117.5
1272,N702,Khajura(Int.with Z7057)-Arpara (Int.with Z7021),LRP015,374,14.364,LRP030,1645,30.62,16.256,73.0,381.0,288.0,558.0,153.0,139.0,33.0,159.0,1096.0,1358.0,1629.0,864.0,0.0,4238.0,2493.0,6731.0,6731.0,LRP015,13.99,Km Post,"Kushtia 73 km,Simakhali 9 km",23.2747771,89.2534167,N702,17117.5
1275,N702,Arpara(Int.with Z7021)-Magura (Vaina More),LRP030,1645,30.62,LRPE,0,43.75,13.13,73.0,381.0,288.0,558.0,153.0,139.0,33.0,159.0,1096.0,1358.0,1629.0,864.0,0.0,4238.0,2493.0,6731.0,6731.0,LRP030,28.975,Km Post,"Magura 15 km,Dhaka 192 km",23.3658333,89.3604722,N702,17117.5
1278,N703,Bus Terminal-Int more N704,LRPS,0,0.0,LRP001,986,1.986,1.986,10.0,327.0,245.0,180.0,205.0,174.0,35.0,165.0,1625.0,1193.0,1064.0,837.0,0.0,4159.0,1901.0,6060.0,6060.0,LRPS,0,Others,"Road Start from Jhenaidah Central Bus Terminal and intersection at N7 and N703,Jhenaidah.",23.5425274,89.1906108,N703,14203.0
1281,N703,Int more N704-Int more R745,LRP001,986,1.986,LRP001,1070,2.07,0.084,10.0,327.0,245.0,180.0,205.0,174.0,35.0,165.0,1625.0,1193.0,1064.0,837.0,0.0,4159.0,1901.0,6060.0,6060.0,LRP001,1,Km Post,Information not clear,23.5429441,89.1820827,N703,14203.0
1284,N703,Int with R745-Hamdah (Int with N712),LRP001,1070,2.07,LRPE,0,3.49,1.42,10.0,327.0,245.0,180.0,205.0,174.0,35.0,165.0,1625.0,1193.0,1064.0,837.0,0.0,4159.0,1901.0,6060.0,6060.0,LRP001,1,Km Post,Information not clear,23.5429441,89.1820827,N703,14203.0
1287,N704,Jhenaidah(Bata More)-Arappur (Int.with N7),LRPS,0,0.0,LRPS,922,0.922,0.922,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0,LRPS,0,Others,Start at post office more and intersection at N 703 & N 704 Jhenaihah .,23.5456941,89.1728604,N704,46698.5
1290,N704,Arappur (Int.with N7)-Amtali (Int.with Z7404),LRPS,922,0.922,LRP004,542,4.462,3.54,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0,LRPS,0,Others,Start at post office more and intersection at N 703 & N 704 Jhenaihah .,23.5456941,89.1728604,N704,46698.5
1293,N704,"Shekhpara(Int.with Z7405)-Bottoli More (Kushtia,Int.with R747)",LRP021,292,21.187,LRP041,344,41.222,20.035,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0,LRP021,20.895,Km Post,Kushtia 25 km Meherpur 83 km,23.7162222,89.1559167,N704,46698.5
1296,N704,Amtali (Int.with Z7404)-Shekhpara (Int.with Z7405),LRP004,542,4.462,LRP021,292,21.187,16.725,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0,LRP004,3.92,Km Post,Kushtia 42 km Rajshahi 179 km,23.5801938,89.176916,N704,46698.5
1299,N704,"Bottoli More (Kushtia,Int.with R747)-Chowrhash More (Int.with R710)",LRP041,344,41.222,LRP043,572,43.43,2.208,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0,LRP041,40.878,Km Post,Kustia 5 km Meherpur 63 km,23.8770827,89.0912774,N704,46698.5
1302,N704,"Chowrhash More (Int.with R710) -Trimohoni, Kushtia (Int.with R745)",LRP043,572,43.43,LRP050,280,50.038,6.608,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0,LRP043,42.858,Km Post,Kustia 3 km Bogra 152 km,23.8866386,89.1064167,N704,46698.5
1305,N704,"Trimohoni, Kushtia (Int.with R745)-Int.with Z7411 (Bheramara)",LRP050,280,50.038,LRP064,735,64.298,14.26,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0,LRP050,49.758,Km Post,Natore 73 km,23.9302493,89.0912774,N704,46698.5
1308,N704,Int.with Z7411 (Bheramara)-Int.with Z7409 (Bheramara),LRP064,735,64.298,LRP067,52,66.675,2.377,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0,LRP064,63.563,Km Post,Ishurdi 23 km/Pabna Road Division Start,24.0135556,89.0146389,N704,46698.5
1314,N704,Int.with Z7409 (Bheramara)-Ruppur(Int.with N705),LRP067,52,66.675,LRP074,772,74.274,7.599,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0,LRP067,66.623,Km Post,Pabna 35 km Rajshahi 105 km,24.0399719,89.0123889,N704,46698.5
1317,N704,Ruppur(Int.with N705)- Dasuria (Int.with N705),LRP074,772,74.274,LRP081,695,81.193,6.919,214.0,1977.0,589.0,332.0,39.0,390.0,34.0,183.0,2273.0,1512.0,864.0,173.0,0.0,7543.0,1037.0,8580.0,8580.0,LRP074,73.502,Km Post,Natore 49 km Rajshahi 98 km,24.0736382,89.0589167,N704,33901.0
1320,N704,Ishwardi-Dasuria (Int.with N705) - Dasuria (Int.with N6),LRP081,695,81.193,LRPE,0,81.538,0.345,214.0,1977.0,589.0,332.0,39.0,390.0,34.0,183.0,2273.0,1512.0,864.0,173.0,0.0,7543.0,1037.0,8580.0,8580.0,LRP081,80.498,Km Post,Natore 42 km Dhaka 222 km,24.1082778,89.1144722,N704,33901.0
1323,N705,Ruppur-Iswardi (Int.with Z6006),LRPS,0,0.0,LRP005,1410,5.04,5.04,18.0,311.0,237.0,3.0,3.0,36.0,23.0,53.0,1356.0,1190.0,960.0,442.0,0.0,3230.0,1402.0,4632.0,4632.0,LRPS,0,Others,Road Start infront of Ruppur Power Plant Signboard Ishwardi.,24.0753604,89.0661667,N705,9598.0
1326,N705,Iswardi (Int.with Z6006)-Dashiria (Int.with N704),LRP005,1410,5.04,LRPE,0,9.453,4.413,18.0,311.0,237.0,3.0,3.0,36.0,23.0,53.0,1356.0,1190.0,960.0,442.0,0.0,3230.0,1402.0,4632.0,4632.0,LRP005,3.63,Km Post,Info missing,24.1039444,89.0802771,N705,9598.0
1329,N706,Jessore (Daratana More)-Chanchra More (Int with N7),LRPS,0,0.0,LRP002,820,2.83,2.83,186.0,959.0,687.0,401.0,439.0,283.0,125.0,282.0,2932.0,2713.0,2204.0,2188.0,0.0,9007.0,4392.0,13399.0,13399.0,LRPS,0,Others,"Start of Road From N707 at Daratana Traffic Island , Jessore.",23.1665278,89.2095278,N706,34285.0
1332,N706,Chanchra More( Int with N7)-Navaron ( Int with R765),LRP002,820,2.83,LRP024,1880,26.0,23.17,157.0,1187.0,1063.0,439.0,523.0,338.0,148.0,236.0,736.0,411.0,317.0,152.0,0.0,5238.0,469.0,5707.0,5707.0,LRP002,2.01,Km Post,"Benapole 36 km,Jikargachha 12 km",23.1497774,89.2030556,N706,29753.5
1335,N706,Navaron ( Int With R765)- Benapole,LRP024,1880,26.0,LRP035,3058,38.2,12.2,157.0,1187.0,1063.0,439.0,523.0,338.0,148.0,236.0,736.0,411.0,317.0,152.0,0.0,5238.0,469.0,5707.0,5707.0,LRP024,24.12,Km Post,"Benapole 14 km,Navaron 2 km",23.0635278,89.0163611,N706,29753.5
1338,N707,Palbari-Daratana More(Int.with N702 and N706),LRPS,0,0.0,LRP002,998,2.228,2.228,114.0,1776.0,951.0,785.0,499.0,375.0,107.0,327.0,2084.0,2091.0,1884.0,1506.0,0.0,9109.0,3390.0,12499.0,12499.0,LRPS,0,Others,"Start from palbari more Triffic island and Intersection at N707 & N708 infront of Royal community Center, Jossore.",23.179666,89.194583,N707,42378.0
1341,N707,Daratana More(Int.with N702 and N706)-Monihar(Int.with N806),LRP002,998,2.228,LRP002,2672,3.902,1.674,114.0,1776.0,951.0,785.0,499.0,375.0,107.0,327.0,2084.0,2091.0,1884.0,1506.0,0.0,9109.0,3390.0,12499.0,12499.0,LRP002,1.23,Km Post,"Jessore 1km, khulna 61km",23.1713604,89.2012222,N707,42378.0
1344,N707,Monihar(Int.with N806)-Murail More(Int.with N7),LRP002,2672,3.902,LRPE,0,6.49,2.588,114.0,1776.0,951.0,785.0,499.0,375.0,107.0,327.0,2084.0,2091.0,1884.0,1506.0,0.0,9109.0,3390.0,12499.0,12499.0,LRP002,1.23,Km Post,"Jessore 1km, khulna 61km",23.1713604,89.2012222,N707,42378.0
1347,N708,Palbari-Board Office (Int.with N702),LRPS,0,0.0,LRP003,163,2.513,2.513,41.0,222.0,187.0,165.0,156.0,264.0,60.0,336.0,753.0,1316.0,1043.0,1699.0,0.0,3500.0,2742.0,6242.0,6242.0,LRPS,0,Others,"Start from Koroytala.Varkarzo more from N-7 Palbari,Jessore",23.1811382,89.1911108,N708,13136.5
1350,N708,Board Office (Int.with N702)-Monihar,LRP003,163,2.513,LRPE,0,4.75,2.237,41.0,222.0,187.0,165.0,156.0,264.0,60.0,336.0,753.0,1316.0,1043.0,1699.0,0.0,3500.0,2742.0,6242.0,6242.0,LRP003,2.35,Km Post,"Monihar 2.75 Km , Narail 36 Km",23.1765271,89.2096667,N708,13136.5
1353,N709,Fultala- (Int.with R760),LRPS,0,0.0,LRP016,420,16.487,16.487,0.0,28.0,71.0,5.0,12.0,484.0,276.0,627.0,4122.0,1420.0,674.0,4568.0,65.0,7045.0,5307.0,12352.0,12352.0,LRPS,0,Others,Start from N 7 Afilgat Fultala Khulna,22.935583,89.4879719,N709,20591.0
