,road,name,LRP Start,Offset Start,Chainage Start,LRP_end,Óffset_end,Chainage_end,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitude Decimal,road_number,EVV
30,N1,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Left),LRP147,1614,145.409,LRP152,448,149.289,3.88,352.5,5765.5,1594.5,1595.0,649.5,1163.0,320.0,1025.5,1259.0,412.0,92.5,197.5,0.0,14136.5,290.0,14426.5,14426.5,LRP147,143.795,Km Post,"Ctg 98 km,Feni 2 km",23.0193604,91.3697771,N1,88897.75
33,N1,Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Left),LRP152,448,149.289,LRP160,738,157.685,8.396,415.0,5049.5,1091.0,1566.5,266.0,694.0,258.5,903.0,843.5,197.0,212.0,164.5,0.0,11284.0,376.5,11660.5,11660.5,LRP152,148.841,Km Post,"Ctg 93 km,Lalpole 1 km",22.9906941,91.4072222,N1,73853.5
36,N1,Langalband - Mograpara Chowrasta (Left)Z1089 (Left),LRP013,3411,15.935,LRP013,7520,20.044,4.109,163.5,4692.0,3349.5,3088.0,2599.5,2269.0,297.0,1842.0,3117.0,1148.5,364.0,1304.0,0.0,22566.0,1668.0,24234.0,24234.0,LRP013,12.524,Km Post,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,N1,126461.0
39,N1,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left),LRP013,7520,20.044,LRP022,1935,23.564,3.52,299.5,5156.5,1060.5,1710.0,705.0,1655.0,399.5,2049.0,1242.0,212.0,34.0,163.5,0.0,14489.0,197.5,14686.5,14686.5,LRP013,12.524,Km Post,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,N1,86367.5
42,N1,Fazilpur Z1081 - Muhuriganj Z1032 (Left),LRP160,738,157.685,LRP164,619,161.582,3.897,352.5,5765.5,1594.5,1595.0,649.5,1163.0,320.0,1025.5,1259.0,412.0,92.5,197.5,0.0,14136.5,290.0,14426.5,14426.5,LRP160,156.947,Km Post,"Ctg 85 km,Bairyahat 10 km",22.9479997,91.4689993,N1,88897.75
45,N1,Muhuriganj Z1032-Baraiyerhat R151 (Left),LRP164,619,161.582,LRP164,6720,167.683,6.101,371.0,3986.0,1014.0,1335.5,532.5,758.5,298.0,770.0,2275.5,331.5,92.0,266.5,0.0,11672.5,358.5,12031.0,12031.0,LRP164,160.963,Km Post,Ctg 81 kkm,22.9482774,91.50725,N1,67431.0
48,N1,Baraiyerhat R151- Mirersarai Z1021 (Left),LRP164,6720,167.683,LRP164,20501,181.464,13.781,371.0,3986.0,1014.0,1335.5,532.5,758.5,298.0,770.0,2275.5,331.5,92.0,266.5,0.0,11672.5,358.5,12031.0,12031.0,LRP164,160.963,Km Post,Ctg 81 kkm,22.9482774,91.50725,N1,67431.0
51,N1,Mirersarai Z1021 - Baroirdala Z1086 (Left),LRP164,20501,181.464,LRP197,1120,194.603,13.139,371.0,3986.0,1014.0,1335.5,532.5,758.5,298.0,770.0,2275.5,331.5,92.0,266.5,0.0,11672.5,358.5,12031.0,12031.0,LRP164,160.963,Km Post,Ctg 81 kkm,22.9482774,91.50725,N1,67431.0
54,N1,Baroirdala Z1086- Barabkunda Z1087 (Left),LRP197,1120,194.603,LRP209,486,206.402,11.799,1101.5,5224.5,1228.0,1573.5,607.5,862.0,238.5,803.0,2799.5,433.0,101.0,319.0,0.0,14871.0,420.0,15291.0,15291.0,LRP197,193.483,Km Post,"Ctg 48 km,Sitakanda 8 km",22.6825549,91.6241938,N1,89902.5
57,N1,Barabkunda Z1087-Fouzderhat Z1016 (Left),LRP209,486,206.402,LRP225,6400,228.406,22.004,1101.5,5224.5,1228.0,1573.5,607.5,862.0,238.5,803.0,2799.5,433.0,101.0,319.0,0.0,14871.0,420.0,15291.0,15291.0,LRP209,205.916,Km Post,Info.Missing,22.584583,91.6780827,N1,89902.5
