road,id,model_type,name,lat,lon,length,condition
N1,1001541,bridge,bridge 771,22.4811642144766,91.7203633632516,24.33,D
N1,1001542,link,link 19367,218.441,218.441,2.283999999999992,
N1,1001543,bridge,bridge 772,22.4624386352,91.7285307,24.32,D
N1,1001544,link,link 19368,220.725,220.725,55.21799999999999,
N1,1001545,bridge,bridge 773,22.2071026538461,92.03633246993,50.8,D
N1,1001546,link,link 19369,275.943,275.943,55.31600000000003,
N1,1001547,bridge,bridge 774,21.7715943354948,92.0821099546075,294.15,D
N1,1001548,link,link 19370,331.259,331.259,54.81099999999998,
N1,1001549,bridge,bridge 775,21.4063607143344,92.0580467784983,10.0,D
N1,1001550,link,link 19371,386.07,386.07,11.521000000000015,
N1,1001551,bridge,bridge 776,21.3211087823529,92.0888836352941,11.2,D
N1,1001552,link,link 19372,397.591,397.591,2.8689999999999714,
N1,1001553,bridge,bridge 777,21.2997453619819,92.0974772590991,61.3,D
N1,1001554,link,link 19373,400.46,400.46,16.83000000000004,
N1,1001555,bridge,bridge 778,21.1888919350109,92.1658773557987,15.4,D
N1,1001556,link,link 19374,417.29,417.29,0.0,
N1,1001557,bridge,bridge 779,21.1888919350109,92.1658773557987,15.4,D
N1,1001558,link,link 19375,417.29,417.29,1.9879999999999995,
N1,1001559,bridge,bridge 780,21.1754208098765,92.1562526135802,48.2,D
N1,1001560,link,link 19376,419.278,419.278,5.298999999999978,
N1,1001561,bridge,bridge 781,21.1376124564885,92.1680587053435,12.3,D
N1,1001562,link,link 19377,424.577,424.577,0.0,
N1,1001563,bridge,bridge 782,21.1376124564885,92.1680587053435,12.3,D
N1,1001564,link,link 19378,424.577,424.577,2.3380000000000223,
N1,1001565,bridge,bridge 783,21.1297680981982,92.1870470012012,7.9,D
N1,1001566,link,link 19379,426.915,426.915,0.7069999999999936,
N1,1001567,bridge,bridge 784,21.125103688724,92.1913674700296,6.4,D
N1,1001568,link,link 19380,427.622,427.622,1.4590000000000032,
N1,1001569,bridge,bridge 785,21.1145580496021,92.1980208315649,12.8,D
N1,1001570,link,link 19381,429.081,429.081,7.70799999999997,
N1,1001571,bridge,bridge 786,21.0562943527173,92.2266452831521,9.4,D
N1,1001572,link,link 19382,436.789,436.789,16.583000000000027,
N1,1001573,bridge,bridge 787,20.9253890280839,92.2649451585301,2.7,D
N1,1001574,sink,sink,453.372,453.372,20.0,
